user_id,platform,handle,followers,niche,bio
100,Twitter,@influencer0,39487,fitness,"Hi, I'm Influencer0 and I love sharing beauty content!"
101,Twitter,@influencer1,51423,food,"Hi, I'm Influencer1 and I love sharing fashion content!"
102,YouTube,@influencer2,5635,fitness,"Hi, I'm Influencer2 and I love sharing travel content!"
103,YouTube,@influencer3,50106,fashion,"Hi, I'm Influencer3 and I love sharing travel content!"
104,Instagram,@influencer4,3170,food,"Hi, I'm Influencer4 and I love sharing fitness content!"
105,LinkedIn,@influencer5,70575,finance,"Hi, I'm Influencer5 and I love sharing beauty content!"
106,LinkedIn,@influencer6,77539,fashion,"Hi, I'm Influencer6 and I love sharing tech content!"
107,LinkedIn,@influencer7,76002,fashion,"Hi, I'm Influencer7 and I love sharing finance content!"
108,Twitter,@influencer8,85565,fashion,"Hi, I'm Influencer8 and I love sharing food content!"
109,Instagram,@influencer9,29150,fitness,"Hi, I'm Influencer9 and I love sharing tech content!"
110,Twitter,@influencer10,96864,tech,"Hi, I'm Influencer10 and I love sharing fashion content!"
111,YouTube,@influencer11,45769,finance,"Hi, I'm Influencer11 and I love sharing food content!"
112,LinkedIn,@influencer12,84239,finance,"Hi, I'm Influencer12 and I love sharing travel content!"
113,LinkedIn,@influencer13,2626,travel,"Hi, I'm Influencer13 and I love sharing food content!"
114,Instagram,@influencer14,98083,fashion,"Hi, I'm Influencer14 and I love sharing fitness content!"
115,Instagram,@influencer15,90396,fitness,"Hi, I'm Influencer15 and I love sharing beauty content!"
116,LinkedIn,@influencer16,61668,beauty,"Hi, I'm Influencer16 and I love sharing beauty content!"
117,TikTok,@influencer17,93044,travel,"Hi, I'm Influencer17 and I love sharing fashion content!"
118,LinkedIn,@influencer18,69632,beauty,"Hi, I'm Influencer18 and I love sharing travel content!"
119,TikTok,@influencer19,62529,fitness,"Hi, I'm Influencer19 and I love sharing tech content!"
120,YouTube,@influencer20,71427,fitness,"Hi, I'm Influencer20 and I love sharing fashion content!"
121,LinkedIn,@influencer21,6210,fashion,"Hi, I'm Influencer21 and I love sharing fitness content!"
122,Instagram,@influencer22,2484,food,"Hi, I'm Influencer22 and I love sharing food content!"
123,Instagram,@influencer23,17470,finance,"Hi, I'm Influencer23 and I love sharing fitness content!"
124,YouTube,@influencer24,98532,fashion,"Hi, I'm Influencer24 and I love sharing beauty content!"
125,YouTube,@influencer25,29620,food,"Hi, I'm Influencer25 and I love sharing food content!"
126,Instagram,@influencer26,57365,fitness,"Hi, I'm Influencer26 and I love sharing fashion content!"
127,LinkedIn,@influencer27,44122,tech,"Hi, I'm Influencer27 and I love sharing fitness content!"
128,TikTok,@influencer28,78163,travel,"Hi, I'm Influencer28 and I love sharing beauty content!"
129,LinkedIn,@influencer29,42722,tech,"Hi, I'm Influencer29 and I love sharing food content!"
